CANONICAL_SMILES,ACTIVITY
C1CCN(C1)C(=O)C2=NOC(=C2)C3=CC=CC=C3Cl,1
C1C2CC3CC1CC(C2)(C3)C(=O)NCC4=NN=C(N4C5=CC=C(C=C5)F)SCC6=CC=C(C=C6)F,1
CCN(CCC#N)C1=CC(=C(C=C1)/C=N/NC2=NC(=CC(=O)N2)C)C,0
CC1=C(N(C2=C1C=C(C=C2)C(=O)OCCCN(C)C)CC3=CC=CC=C3)C,1
C1=CC=C2C(=C1)NC3=C(C(C(=C(N23)N)C#N)C4=CC=C(C=C4)Br)C#N,1
C1CCC2=C(C1)C=CC=C2NC(=O)C3=C(C=CC(=C3)[N+](=O)[O-])Cl,0
CC1=C(C=CO1)C(=O)NNC(=O)C2=CC(=CC=C2)F,0
CC1=CC=C(C=C1)/C(=N\O)/C2=C(C3=C(O2)C(=C4C(=C3)C(=CC(=O)O4)C)C)C,1
CC1=C(C(=CC=C1)NS(=O)(=O)C2=CC=C(C=C2)C(=O)NCC3(CCCCC3)N4CCCCC4)C,1
CC1=C(SC(=N1)C2=CC=CC=C2)C3=NN=C(N3C)SC,0
CN1C2=C(C=C(S2)C(=O)NCC3=CC4=C(C=C3)OCO4)C(=N1)C5=CC(=CC=C5)OC,0
C1=CC=NC(=C1)/C(=C/C2=CNC3=C2C=C(C=C3)Br)/C#N,1
COC1=CC=C(C=C1)N2C(C(CCC2=O)C(=O)NCC3=CC=CC=N3)C4=CC(=C(C=C4)OC)OC,0
CN(CC1=CC=CS1)C(=O)C2CC(=O)N(C2)CC3=CC=CC=C3,0
C1CCC2(C1)CC3=CC=CC=C3/C(=C/C(=O)C(=O)N/N=C/C4=CC=CC=C4O)/N2,1
CN(CCCOC1=C(C=C(C=C1)Cl)Cl)CC#C,0
C1CCC(CC1)(C2=CC3=CC=CC=C3S2)N4CCCCC4.Cl,1
CCN(C1CCS(=O)(=O)C1)C(=O)CSC2=NC3=C(C=C(C=C3)O)C(=O)N2C4=CC(=C(C=C4)OC)OC,0
C1=CC=C(C=C1)CSC2=CC=CC=C2C(=O)NC3=NC4=CC=CC=C4C(=O)N3,0
C1C(=O)NC(=NC2=CC=CC=C2)S1,0
C1CN(CCN1CCCN2C3=CC=CC=C3C=CC4=CC=CC=C42)CCO,1
CC1=CC(=C(C=C1)C)C(=O)CN2C(=O)C(=C(C=N2)Cl)Cl,1
CCCN(C1CCS(=O)(=O)C1)C(=O)C2=C(C=CC(=C2)S(=O)(=O)N(C)C3=CC=C(C=C3)OCC)C,0
CC1=CC=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CN=CC=C4,1
CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NC3=NC(=CS3)C4=CC=C(C=C4)F,1
COC1CCCC2=CC(=C(C(=C2C1=O)O)OC)OC,0
CC(C)CCN1C(=NN=N1)C(C2=C(C(=CC=C2)OC)OC)N3CCN(CC3)CC=C.Cl,0
CCCCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)C3=CC=C(C=C3)N4CCCC4=O,0
CN1C2=C(C=C1C3=CC=CC=C3)C4=NO[N+](=C4C=C2)[O-],1
CCN(CC)S(=O)(=O)C1=CC=CC(=C1)NC(=O)C2=CC=C(C=C2)N3C(=CC(=N3)C)C,1
COC1=CC(=C(C=C1N2CC(CC2=O)C(=O)NC3=C(C=CC(=C3)Cl)N4CCOCC4)Cl)OC,0
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)C2=C(N(C(=O)NC2=O)CCOC)N,0
CC1=C(C=C(C=C1)C(=O)NCCCN2C=CN=C2)[N+](=O)[O-],0
CCOC1=C(C=CC(=C1)C2C3=C(NN=C3C(=O)N2C4=CC=C(C=C4)C(=O)OCC)C5=CC=CO5)O,1
CC1=CC(=CC=C1)NC2=NC(=NC(=N2)NCC3=CC=CO3)N4CCOCC4,1
CN(C1CCCCC1)C2=NN=C(S2)NC(=O)NC3=CC=CC=C3C(F)(F)F,0
CC1=CC(=C(N1C2=CC=C(C=C2)OCC3=C(C=C(C=C3)Cl)Cl)C)/C=N/N4C=NN=C4,1
COC1=CC=C(C=C1)C2=C(C3=CC(=C(C=C3C(=O)O2)OC)OC)C4=CC(=CC(=C4)F)OC,0
C1CC2=CC=CC=C2N(C1)C(=O)CSC3=NN=C(N3C4=CC=CC=C4)C5=CC=CS5,1
CC1=C(C=C(C=C1)NC(=O)N2CCCN(C2)CC3=CC=C(C=C3)F)C,1
C1=CC(=C(C=C1Cl)Cl)OCCCC2=NC(=NO2)C3=CC=NC=C3,0
CC1=C(SC2=C1C(=O)N(C=N2)CC(=O)N3CCCCC3)C(=O)NCCOC,0
